,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
3557,Fairfax,Virginia,"Washington, DC",7933986,luav,Advertising & Marketing,10,3556,44263,1,88.7249,3,5,VA,Luav
3562,Chicago,Illinois,Chicago,8240580,50000feet,Advertising & Marketing,45,3561,26427,3,88.5187,17,5,IL,"50,000feet"
3590,Atlanta,Georgia,Atlanta,8657322,nebo,Advertising & Marketing,74,3589,22017,6,87.3282,29,5,GA,Nebo
3624,Redmond,Washington,Seattle,35980803,maq-software,Advertising & Marketing,500,3623,822,8,86.1249,23,5,WA,MAQ Software
3625,San Diego,California,San Diego,32236256,motive-interactive,Advertising & Marketing,32,3624,17831,4,86.0562,11,5,CA,Motive Interactive
3638,Newport Beach,California,Los Angeles,73589000,ymarketing,Advertising & Marketing,65,3637,19302,6,85.6779,2,5,CA,ymarketing
3646,saint louis,Missouri,"St. Louis, MO-IL",8715112,abstrakt-marketing-group,Advertising & Marketing,97,3645,25227,2,85.2201,74,5,MO,Abstrakt Marketing Group
3661,Overland Park,Kansas,"Kansas City, MO-KS",26774039,deg,Advertising & Marketing,175,3660,20136,6,84.9675,21,5,KS,DEG
3705,CINCINNATI,Ohio,Cincinnati,11124890,deanhouston,Advertising & Marketing,60,3703,22301,5,83.3926,47,5,OH,DEANHOUSTON
3748,Framingham,Massachusetts,Boston,7098410,commcreative,Advertising & Marketing,26,3746,3720,3,81.9351,6,5,MA,CommCreative
3761,Washington,District of Columbia,"Washington, DC",19586431,levick,Advertising & Marketing,78,3759,3943,6,81.4684,3,5,DC,LEVICK
3762,Orlando,Florida,"Orlando, FL",17120440,akt-enterprises,Advertising & Marketing,125,3760,17617,6,81.4567,68,5,FL,AKT Enterprises
3805,New York,New York,New York City,41152045,dimassimo-goldstein,Advertising & Marketing,60,3803,26474,3,79.8755,9,5,NY,DiMassimo Goldstein
3851,San Francisco,California,San Francisco,63741000,meltwater,Advertising & Marketing,387,3849,44334,1,78.0624,4,5,CA,Meltwater
3862,Riverwoods,Illinois,Chicago,10715786,global-sourcing-connection,Advertising & Marketing,20,3861,44339,1,77.5964,17,5,IL,Global Sourcing Connection
