,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
972,972,Webb City,Missouri,"Joplin, MO",6055000,infinity-publishing-group,Advertising & Marketing,23,979,23465,1,439.1808,273,5,MO,Infinity Publishing Group
992,992,Herndon,Virginia,"Washington, DC",12200759,tier10,Advertising & Marketing,53,999,23473,1,429.8184,3,5,VA,Tier10
994,994,Chicago,Illinois,Chicago,10933843,ifbyphone,Advertising & Marketing,80,1001,21156,2,429.0328,17,5,IL,IfByPhone
999,999,Norwalk,Connecticut,"Bridgeport-Stamford-Norwalk, CT",12408769,inspira-marketing,Advertising & Marketing,27,1006,21004,2,427.7612,58,5,CT,Inspira Marketing
1003,1003,New York,New York,New York City,7093708,resolute-digital,Advertising & Marketing,28,1010,5293,1,426.4836,9,5,NY,Resolute Digital
1008,1008,Cary,North Carolina,"Raleigh-Cary, NC",13148437,ignite-social-media,Advertising & Marketing,101,1015,21493,2,422.8999,36,5,NC,Ignite Social Media
1011,1011,Citrus Heights,California,"Sacramento, CA",3079007,retail-radio,Advertising & Marketing,19,1018,21365,2,422.5884,1011,5,CA,Retail Radio
1043,1043,Lynnwood,Washington,Seattle,2456919,richter102-media-group,Advertising & Marketing,50,1050,23493,1,404.8481,23,5,WA,Richter10.2 Media Group
1058,1058,Baltimore,Maryland,Baltimore,26228000,doublepositive,Advertising & Marketing,70,1065,2242,2,396.8365,35,5,MD,DoublePositive
1060,1060,West Islip,New York,New York City,3350000,dionysus-consulting,Advertising & Marketing,22,1067,23501,1,396.2963,9,5,NY,Dionysus Consulting
1084,1084,New York,New York,New York City,14190000,blue-fountain-media,Advertising & Marketing,180,1091,19554,3,384.6311,9,5,NY,Blue Fountain Media
1086,1086,Toms River,New Jersey,New York City,6360606,yashi,Advertising & Marketing,16,1093,21527,2,383.9815,9,5,NJ,Yashi
1088,1088,New York,New York,New York City,3643783,upsurge-media-group,Advertising & Marketing,2,1095,23511,1,383.6908,9,5,NY,UpSurge Media Group
1096,1096,San Francisco,California,San Francisco,4093335,highwire-public-relations,Advertising & Marketing,23,1103,23516,1,379.5968,4,5,CA,Highwire Public Relations
1122,1122,New York,New York,New York City,5049184,likeable-media,Advertising & Marketing,65,1129,19292,3,371.7678,9,5,NY,Likeable Media
1123,1123,Derwood,Maryland,"Washington, DC",6112143,dealeron,Advertising & Marketing,36,1130,20111,3,371.0737,3,5,MD,DealerOn
1143,1143,Austin,Texas,Austin,2002000,findmycompanycom,Advertising & Marketing,30,1150,23533,1,363.4259,18,5,TX,FindMyCompany.com
1148,1148,Greenwood Villiage,Colorado,Denver,77528788,shopathomecom,Advertising & Marketing,128,1155,19649,3,362.6137,30,5,CO,ShopAtHome.com
1165,1165,San Francisco,California,San Francisco,37240540,spruce-media,Advertising & Marketing,65,1172,23542,1,358.6486,4,5,CA,Spruce Media
1172,1172,Fort Myers,Florida,"Cape Coral-Fort Myers, FL",2180073,victory-agency,Advertising & Marketing,10,1179,23544,1,356.8267,246,5,FL,Victory Agency
