,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
231,The Search Agency*,Los Angeles,3298700,2.7,The Search Agency*,Independent
232,DKC,New York,3289700,20.0,DKC,Independent
233,Bartle Bogle Hegarty* [Publicis],London,3269200,-14.2,Bartle Bogle Hegarty* ,Publicis
234,Geary LSF Group,San Francisco,3257400,,Geary LSF Group,Independent
235,Acronym,New York,3250000,4.8,Acronym,Independent
236,Bravo Group* [WPP],Miami,3200000,1.6,Bravo Group* ,WPP
237,Brunner,Pittsburgh,3200000,2.4,Brunner,Independent
238,Laughlin Constable,Milwaukee,3175000,6.4,Laughlin Constable,Independent
239,McKinney [Cheil Worldwide],"Durham, N.C.",3160900,-15.5,McKinney ,Cheil Worldwide
240,Mercury Media,"Santa Monica, Calif.",3156300,16.3,Mercury Media,Independent
241,Quigley-Simpson,Los Angeles,3151100,4.5,Quigley-Simpson,Independent
242,Global Advertising Strategies,New York,3150000,18.9,Global Advertising Strategies,Independent
243,Marina Maher Communications* [Omnicom],New York,3135000,4.5,Marina Maher Communications* ,Omnicom
244,BVK,Milwaukee,3130000,-2.8,BVK,Independent
245,Brodeur Partners*,Boston,3060000,,Brodeur Partners*,Independent
246,Covario*,San Diego,3045100,30.8,Covario*,Independent
247,Kinetic* [WPP],London,3030000,4.8,Kinetic* ,WPP
248,Davis Elen Advertising,Los Angeles,3018700,3.3,Davis Elen Advertising,Independent
249,Cramer,"Norwood, Mass.",3000000,3.4,Cramer,Independent
250,Razorfish Healthware* [Publicis],New York,3000000,15.4,Razorfish Healthware* ,Publicis
251,Translation,New York,3000000,57.9,Translation,Independent
252,Star Group*,"Voorhees, N.J.",2998900,25.3,Star Group*,Independent
253,Doremus* [Omnicom],New York,2997000,25.0,Doremus* ,Omnicom
254,LatinWorks* [Omnicom],"Austin, Texas",2965500,25.7,LatinWorks* ,Omnicom
255,Qorvis Communications*,Washington,2950000,0.0,Qorvis Communications*,Independent
256,Iostudio,"Nashville, Tenn.",2940000,7.8,Iostudio,Independent
257,Rockfish* [WPP],"Rogers, Ark.",2937600,35.0,Rockfish* ,WPP
258,Inter/Media Advertising*,"Woodland Hills, Calif.",2919800,12.3,Inter/Media Advertising*,Independent
259,Amp Agency,Boston,2904800,26.0,Amp Agency,Independent
260,Lopez Negrete Communications,Houston,2901700,2.7,Lopez Negrete Communications,Independent
261,RTC* [WPP],Washington,2900000,11.5,RTC* ,WPP
262,Martin Williams* [Omnicom],Minneapolis,2887500,0.0,Martin Williams* ,Omnicom
263,Ayzenberg Group,"Pasadena, Calif.",2880000,14.7,Ayzenberg Group,Independent
264,FutureBrand* [Interpublic],London,2850000,9.6,FutureBrand* ,Interpublic
265,SK&G,Las Vegas,2810000,,SK&G,Independent
266,Enlighten,"Ann Arbor, Mich.",2800000,12.0,Enlighten,Independent
267,CMD,"Portland, Ore.",2721800,0.4,CMD,Independent
268,BKV,"Overland Park, Kan.",2720000,-0.7,BKV,Independent
269,Lunchbox* [WPP],Los Angeles,2700000,,Lunchbox* ,WPP
270,WDCW,Seattle,2700000,8.0,WDCW,Independent
271,Fusion Marketing,St. Louis,2690000,24.0,Fusion Marketing,Independent
272,T3,"Austin, Texas",2672900,16.3,T3,Independent
273,Conill* [Publicis],"Torrance, Calif.",2666300,14.6,Conill* ,Publicis
274,Finn Partners [Ruder Finn Group],New York,2654600,15.1,Finn Partners ,Ruder Finn Group
275,Fitch* [WPP],"Columbus, Ohio",2635100,34.0,Fitch* ,WPP
276,MMGY Global,"Kansas City, Mo.",2617200,0.7,MMGY Global,Independent
277,CMI/Compas,"King of Prussia, Pa.",2600000,0.0,CMI/Compas,Independent
278,Dudnyk Exchange*,"Horsham, Pa.",2600000,6.1,Dudnyk Exchange*,Independent
279,Adcom Group,Cleveland,2594400,25.7,Adcom Group,Independent
280,Giant,San Francisco,2590000,44.7,Giant,Independent
281,Alcone Marketing* [Omnicom],"Irvine, Calif.",2587400,4.1,Alcone Marketing* ,Omnicom
282,CCG Marketing Solutions*,"West Caldwell, N.J.",2576000,10.0,CCG Marketing Solutions*,Independent
283,Heartbeat Ideas,New York,2534900,58.1,Heartbeat Ideas,Independent
284,Dailey* [Interpublic],"West Hollywood, Calif.",2530000,10.0,Dailey* ,Interpublic
285,Gotham* [Interpublic],New York,2520000,-10.0,Gotham* ,Interpublic
286,Wire Stone,San Francisco,2520000,1.8,Wire Stone,Independent
287,Allison & Partners* [MDC Partners],San Francisco,2502100,29.0,Allison & Partners* ,MDC Partners
