AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG
Phonevalley* [Publicis],Boston,"20,500",2.5
Tapestry* [Publicis],Chicago,"20,500",11.4
Gage,Minneapolis,"20,400",11.5
rEvolution,Chicago,"20,371",-13.3
Avrett Free Ginsberg* [Interpublic],New York,"20,300",0
Sterling-Rice Group,"Boulder, Colo.","20,247",-3.8
Creative Alliance*,"Louisville, Ky.","20,120",-7.6
Coyne Public Relations,"Parsippany, N.J.","20,027",12.5
Nurun* [Quebecor Media's Nurun],Montreal,"20,000",3.6
Pereira & O'Dell [Grupo ABC],San Francisco,"20,000",35.1
UniWorld Group* [WPP],"Brooklyn, N.Y.","20,000",5.3
FKM,Houston,"19,978",6.3
Alma* [Omnicom],Miami,"19,929",16
Taylor,New York,"19,800",3.7
Gibbs & Soell*,New York,"19,735",34.2
Factory Design Labs,Denver,"19,574",22.1
Liquid Agency,"San Jose, Calif.","19,566",60.6
Marketing Support,Chicago,"19,548",17.7
Code & Theory,New York,"19,500",18.2
Smith,Seattle,"19,500",-30.4
McCormick Co.,"Amarillo, Texas","19,311",12.7
Laird & Partners* [MDC Partners],New York,"19,269",7.1
Cone Communications* [Omnicom],Boston,"19,250",1.3
Biggs Gilmore,"Kalamazoo, Mich.","19,096",7.7
Serino/Coyne* [Omnicom],New York,"19,055",24.5
Zubi Advertising Services,"Coral Gables, Fla.","19,000",0.5
HY Connect,Chicago,"18,963",21.8
Cooney/Waters Group [Creston],New York,"18,961",-7.2
EffectiveUI* [WPP],Denver,"18,900",-9.1
Flashpoint Medica* [Omnicom],New York,"18,860",15
Dieste* [Omnicom],Dallas,"18,700",0
OutCast Agency [Next Fifteen Communications Group],San Francisco,"18,700",3.9
De la Cruz Group,"Guaynabo, P.R.","18,507",11.5
JWT Action* [WPP],"Akron, Ohio","18,500",-7.5
MV42* [Publicis],New York,"18,480",12
Tris3ct,Chicago,"18,449",20
LLNS* [Omnicom],New York,"18,418",-3.1
Moosylvania*,St. Louis,"18,418",0.9
Text 100* [Next Fifteen Communications Group],New York,"18,394",1
Dentsu America* [Dentsu],New York,"18,242",3.4
Entree Health* [Omnicom],New York,"18,143",16.3
Blue Chip Marketing Worldwide*,"Northbrook, Ill.","18,130",34.3
HealthEd,"Clark, N.J.","18,000",-14.3
Ignited,"El Segundo, Calif.","18,000",2.9
Images USA,Atlanta,"18,000",12.5
Via Agency,"Portland, Maine","18,000",17.7
Greater Than One,New York,"17,900",11.2
Sigma Group,"Oradell, N.J.","17,700",7.3
MMB*,Boston,"17,629",8.8
Adams & Knight,"Avon, Conn.","17,613",41.7
Cadient Group*,"King of Prussia, Pa.","17,600",0
Partners & Napier [Project WorldWide],"Rochester, N.Y.","17,550",-8.1
Agency 720* [Omnicom],Detroit,"17,500",16.8
French/West/Vaughan,"Raleigh, N.C.","17,186",25.4
Risdall Advertising*,"New Brighton, Minn.","17,090",17
EPAM Empathy Lab,"Conshohocken, Pa.","17,000",6.3
Legacy Marketing Partners [RiverNorth Group (KB Holdings)],Chicago,"17,000",-5.6
Schafer Condon Carter,Chicago,"16,990",9.8
Sundog,"Fargo, N.D.","16,987",15.5
Walton Isaacson,"Culver City, Calif./Chicago","16,978",35.8
Padilla Speer Beardsley,Minneapolis,"16,876",-5.4
Space150,Minneapolis,"16,844",-2.2
Sawtooth,"Red Bank, N.J.","16,815",3
TargetCast* [MDC Partners],New York,"16,800",12
Riester,Phoenix,"16,761",15.6
Red Interactive Agency*,"Santa Monica, Calif.","16,650",15.6
AdAsia Communications,"Englewood Cliffs, N.J.","16,604",NA
Firstborn* [Dentsu],New York,"16,500",0
Grupo Gallegos,"Huntington Beach, Calif.","16,500",6.5
TBC,Baltimore,"16,300",8.7
Power Creative,"Louisville, Ky.","16,281",6.8
Mastermind Marketing,Atlanta,"16,200",9.5
Emanate* [Omnicom],New York,"16,188",25
Peppercom,New York,"16,173",10.7
Fitzgerald & Co.* [Interpublic],Atlanta,"16,160",0
Marcus Thomas,Cleveland,"16,086",7
Blitz Agency,"Santa Monica, Calif.","16,058",10.9
Berlin Cameron United* [WPP],New York,"16,000",7.7
Luckie & Co.,"Birmingham, Ala.","16,000",-5.9
Mekanism*,San Francisco,"16,000",0
La Comunidad,Miami,"15,800",11.3
LeadDog Marketing Group,New York,"15,760",31
Roberts & Langer DDB* [Omnicom],New York,"15,716",10
GlynnDevins Advertising & Marketing,"Overland Park, Kan.","15,689",32.3
RevHealth,"Morristown, N.J.","15,630",22.5
Intermark Group,"Birmingham, Ala.","15,600",-26.5
Evolution Bureau* [Omnicom],San Francisco,"15,500",3.3
Fuseideas,"Winchester, Mass.","15,500",82.4
Swanson Russell,"Lincoln, Neb.","15,353",11.5
GlobalWorks Group,New York,"15,350",4.1
LehmanMillet* [HealthStar Communications],Boston,"15,300",0
Della Femina/Rothschild/Jeary & Partners*,New York,"15,281",-2.6
RKG,"Charlottesville, Va.","15,147",87.6
Fathom,"Valley View, Ohio","15,115",15.1
Omelet,"Culver City, Calif.","15,100",228.3
Tierney* [Interpublic],Philadelphia,"15,000",0
Iris [Iris Worldwide],New York,"14,999",36
Wing* [WPP],New York,"14,942",5.6
Lockard & Wechsler Direct,"Irvington, N.Y.","14,920",19.8
Sanders/Wingo,"El Paso, Texas","14,906",4.8
Struck,Salt Lake City,"14,794",-10
Cheil Worldwide,New York,"14,656",10.6
Hunter Public Relations,New York,"14,554",21
M Booth [Next Fifteen Communications Group],New York,"14,551",3.2
Ignite Social Media*,"Cary, N.C.","14,520",NA
PJA Advertising & Marketing,"Cambridge, Mass.","14,500",32.5
SBC Advertising,"Columbus, Ohio","14,455",7.2
GKV,Baltimore,"14,370",13.1
Rivet* [Interpublic],Chicago,"14,280",2
Direct Partners* [Omnicom],"Marina del Rey, Calif.","14,229",-13.2
Shift Communications,"Newton, Mass.","14,226",17.2
Kang & Lee Advertising* [WPP],New York,"14,200",-13.3
5W Public Relations,New York,"14,189",13.9
Connelly Partners,Boston,"14,120",15.6
Northlich*,Cincinnati,"14,000",0
R2integrated,Baltimore,"13,985",26.1
Fuse,St. Louis,"13,983",71.5
Gravity Media,New York,"13,966",71.1
Concentric Health Experience* [MDC Partners],New York,"13,925",8.3
Area203 Digital,"Chattanooga, Tenn.","13,900",65.5
Agency212*,New York,"13,875",2.8
KHJ Brand Activation,Boston,"13,780",3.9
RJ Palmer* [MDC Partners],New York,"13,737",5.1
McGarrah Jessee,"Austin, Texas","13,726",7.4
Mitchell Communications Group* [Dentsu],"Fayetteville, Ark.","13,680",33.6
Response Mine Interactive,Atlanta,"13,669",39.3
Archer Malmo,"Memphis, Tenn.","13,660",18.4
Hoffman/Lewis,San Francisco,"13,636",21.6
Buntin Group,"Nashville, Tenn.","13,500",-12.3
Oneupweb,"Traverse City, Mich.","13,500",3.8
Fame* [Omnicom],Minneapolis,"13,208",1.6
Redscout* [MDC Partners],New York,"13,200",10
Vidal Partnership*,New York,"13,140",-14.1
RF Binder Partners [Ruder Finn Group],New York,"13,100",5.2
Zambezi,"Venice, Calif.","13,100",70.3
CRT/Tanaka,"Richmond, Va.","13,009",12.4
Callahan Creek,"Lawrence, Kan.","13,008",19.3
Casanova Pendrill* [Interpublic],"Costa Mesa, Calif.","13,000",11.8
Makovsky,New York,"13,000",8.3
Saatchi & Saatchi Science* [Publicis],"Yardley, Pa.","13,000",0
Ron Foth Advertising,"Columbus, Ohio","12,787",1.8
Stephenz Group,"San Jose, Calif.","12,785",21
Rodgers Townsend* [Omnicom],St. Louis,"12,713",-2
Hanley Wood Marketing,Minneapolis,"12,710",12.4
Hanson*,"Maumee, Ohio","12,700",0
Iconmobile* [WPP],Berlin,"12,600",5
Proof Integrated Communications* [WPP],New York,"12,600",5
Sullivan Higdon & Sink,"Wichita, Kan.","12,569",-2
MGSCOMM,Miami,"12,559",40
Brand Union* [WPP],New York,"12,420",7
American Communications Group*,"Torrance, Calif.","12,401",3.2
Grafica,"Morristown, N.J.","12,300",1.7
MicroMass Communications,"Cary, N.C.","12,300",35.2
Slingshot*,Dallas,"12,262",15
LM&O Advertising,"Arlington, Va.","12,158",40.5
Hirons & Co.,Indianapolis,"12,150",12
Threshold Interactive,"Culver City, Calif.","12,129",14
O2 Ideas,"Birmingham, Ala.","12,128",3
Attik* [Dentsu],San Francisco,"12,090",14.1
WebMetro,"San Dimas, Calif.","12,017",10.6
Camelot Strategic Marketing & Media,Dallas,"12,000",8.1
Palisades Media Group,"Santa Monica, Calif.","12,000",15.4
