AGENCY-COMPANY,HEADQUARTERS,2013-REVENUE,% CHG
Doe-Anderson,"Louisville, Ky.",9785,14.2
InterTrend Communications,"Long Beach, Calif.",9700,0
Luquire George Andrews,"Charlotte, N.C.",9631,-5
BPN* [Interpublic],New York,9620,NA
Next Marketing,"Norcross, Ga.",9565,17.6
Marriner Marketing Communications*,"Columbia, Md.",9528,0
Charleston/Orwig,"Hartland, Wis.",9528,4.3
Stamats,"Cedar Rapids, Iowa",9514,-6.5
Fly Communications,New York,9500,5.6
Cole & Weber United* [WPP],Seattle,9500,-10.4
New Honor Society* [Interpublic],St. Louis,9360,30
Fuse,St. Louis,9346,-33.2
Seiden Group,New York,9300,2.2
HCB Health*,"Austin, Texas",9269,30.2
Southwest Media Group*,Dallas,9251,9.9
Attik* [Dentsu],San Francisco,9135,-24.4
TaCito Direct,Dallas,9103,11.6
Beeby Clark & Meyler,"Stamford, Conn.",9000,28.6
MediaMorphosis,"Long Island City, N.Y.",8999,NA
Location3 Media*,Denver,8986,11.6
Godfrey,"Lancaster, Pa.",8939,15.9
Vladimir Jones,"Colorado Springs, Colo.",8934,-2.3
Stream,"Malvern, Pa.",8923,15.8
Apollo Interactive*,"El Segundo, Calif.",8910,1.8
Lewis Communications*,"Mobile, Ala.",8903,0
Butler/Till,"Rochester, N.Y.",8878,1.7
Pavone,"Harrisburg, Pa.",8796,6.7
HealthEd*,"Clark, N.J.",8700,NA
SMZ,"Troy, Mich.",8700,10.1
Work & Co.,"Brooklyn, N.Y.",8700,NA
Cardenas Marketing Network,Chicago,8698,-9
DGWB Advertising & Communications*,"Santa Ana, Calif.",8617,0
Babcock & Jenkins,"Portland, Ore.",8600,-9
BoomBox,New York,8500,18.1
ICUC* [Dentsu],"Winnipeg, Manitoba, Canada",8500,14.9
Camp & King,San Francisco,8500,41.7
PM Publicidad,Atlanta,8500,21.4
Kovel/Fuller,"Culver City, Calif.",8500,-6.6
Hunt Adkins,Minneapolis,8464,3
Woodruff Sweitzer,"Kansas City, Mo.",8462,52.6
Hello Design* [MDC Partners],"Culver City, Calif.",8456,7.6
Corinthian Media*,New York,8446,8.7
Mediasmith*,San Francisco,8250,7.1
D Exposito & Partners,New York,8227,10.4
NFusion,"Austin, Texas",8172,20.1
Zehnder,New Orleans,8163,25.6
InVnt,New York,8160,32.5
Marden-Kane,"Garden City, N.Y.",8122,-5.3
Launchpad Advertising,New York,8100,24.6
Catalyst,"Rochester, N.Y.",8100,-28.9
Media Horizons,"Norwalk, Conn.",8077,6
Acento Advertising,"Santa Monica, Calif.",8071,-20.4
Knock*,Minneapolis,8060,2
Slack & Co.,Chicago,8022,22.4
Amazon Advertising* [Publicis ],San Francisco,8000,12.7
Piston,San Diego,8000,23.1
GreenRubino*,Seattle,8000,33.3
MBLM Advertising*,New York,8000,0
Strikeforce Communications,New York,8000,0
Pollinate,"Portland, Ore.",8000,60
Rx Mosaic Health* [Omnicom ],New York,8000,33.3
Source Communications,"Hackensack, N.J.",7875,-4.7
Crosby,"Annapolis, Md.",7759,8.6
Axis Agency* [Interpublic],"West Hollywood, Calif.",7740,19.4
Roberts Communications,"Rochester, N.Y.",7720,-27.6
Hiebing,"Madison, Wis.",7643,8.2
Borshoff,Indianapolis,7630,9.5
DeSantis Breindel,New York,7600,18.8
Milici Valenti Ng Pack,Honolulu,7578,-5
Digital Pulp,New York,7500,10.3
Bozell,"Omaha, Neb.",7500,-16.7
AgencyQ,Washington,7500,15.4
EGC Group,"Melville, N.Y.",7500,0
Kemp Goldberg Partners,"Portland, Maine",7500,7.1
Jeely & Bleiler,Atlanta,7500,-6.3
Sid Lee,Montreal,7448,NA
Mindgruve,San Diego,7435,43.1
Airfoil Group*,"Southfield, Mich.",7380,-6.2
Dodge Communications,"Alpharetta, Ga.",7364,24
Gragg Advertising,"Kansas City, Mo.",7360,18.4
Unleaded Communications*,Houston,7300,7.4
O'Leary & Partners*,"Newport Beach, Calif.",7300,0
RP3 Agency,"Bethesda, Md.",7300,9
Hart,"Maumee, Ohio",7277,6.4
Ames Scullin O'Haire,Atlanta,7252,-4.1
Jellyfish,Baltimore,7200,80.3
E & M Advertising*,New York,7125,-9.8
Ymarketing,"Costa Mesa, Calif.",7117,7.5
David Stark Design & Production*,"Brooklyn, N.Y.",7100,5.4
LiveAreaLabs,Seattle,7100,31.7
Downtown Partners* [Omnicom ],Chicago,7000,0
Karsh Hagan,Denver,6967,-6.5
Arke Systems,Atlanta,6950,33.7
Three Deep,"St. Paul, Minn.",6812,9.8
Red Square Agency,"Mobile, Ala.",6762,-3.4
Topin & Associates,Chicago,6750,0
Yamamoto* [MDC Partners],Minneapolis,6750,3.8
Ignition Network*,"Northlake, Ill.",6740,-6.4
BusinessOnline,San Diego,6680,-3.6
Martino Flynn,"Pittsford, N.Y.",6678,4.1
TBWA/WorldHealth* [Omnicom ],New York,6630,2
Lopito Ileana & Howie,"Guaynabo, P.R.",6610,1.4
Orci,"Santa Monica, Calif.",6609,-1.4
Baker Street Advertising*,San Francisco,6600,10
Preston Kelly,Minneapolis,6597,6.1
Footsteps* [Omnicom ],New York,6514,-10.5
Silver & Partners,New York,6500,8.3
Mortar,San Francisco,6434,-0.8
Sensis,Los Angeles,6420,19.4
M/C/C,Dallas,6417,11.4
Cheil Worldwide,New York,6409,-56.3
Stone Ward,"Little Rock, Ark.",6383,0.4
KraftWorks NYC,New York,6325,2.8
Chemistry Communications,Pittsburgh,6309,33.1
Media Logic,"Albany, N.Y.",6308,0.3
Brandkarma,"Irvine, Calif.",6300,12.5
Barker/DZP,New York,6287,4.7
Pepper Global,Chicago,6215,30.5
Taxi* [WPP],Toronto,6202,-22.8
Modern Climate,Minneapolis,6200,-16.8
Leap*,"Louisville, Ky.",6160,1.7
White & Partners,"Herndon, Va.",6150,9.3
Castells & Asociados,Los Angeles,6119,-24.5
Mirrorball,New York,6050,10
Alinean,"Winter Park, Fla.",6000,6.4
Nemo Design,"Portland, Ore.",6000,20
Economic VUE* [Omnicom ],New York,6000,NA
Mile 9 Agency,"Calabasas, Calif.",6000,9.1
Gold N Fish Marketing Group,"Armonk, N.Y.",6000,-10.3
Keiler,"Farmington, Conn.",6000,0
Public Communications,Chicago,6000,-8.4
Dae Advertising,San Francisco,5998,-2.1
Moveo,"Oakbrook Terrace, Ill.",5981,22.3
352,"Newberry, Fla.",5975,-2.9
LatinSphere Advertising,"Long Beach, Calif.",5924,20.8
Boomerang Pharmaceutical Communications,"Parsippany, N.J.",5900,1.7
Fraser Communications*,Los Angeles,5900,-4.7
PriceWeber Marketing Communications,"Louisville, Ky.",5898,6.8
Hybrid Design*,San Francisco,5814,0
Howard/Merrell*,"Raleigh, N.C.",5813,-18.5
Renavatio Healthcare Communications,"Newtown, Pa.",5750,11.4
LRG Marketing Communications*,"Nyack, N.Y.",5720,-3.7
Cashman & Katz Integrated Communications,"Glastonbury, Conn.",5695,3.8
San Jose Group,Chicago,5684,-14.8
206,Seattle,5655,8.6
HMH,"Portland, Ore.",5627,-9.6
Copacino & Fujikado,Seattle,5611,17.9
Shine United,"Madison, Wis.",5600,6.7
Brooklyn Brothers,New York,5600,12
AY Digital,New York,5600,75
Ansible* [Interpublic],San Francisco,5531,2.4
Magner Sanborn,"Spokane, Wash.",5528,-9.8
Cactus,Denver,5516,-13
Portent,Seattle,5500,48.6
Aaaza,Los Angeles,5500,29.4
Linhart Public Relations,Denver,5481,11.9
Fixation Marketing*,"Bethesda, Md.",5457,6.3
Curiosity,Cincinnati,5415,22.8
DWA Media,San Francisco,5400,54.3
BrandForce,San Francisco,5351,16.3
Being* [Omnicom ],"New York/Boulogne-Billancourt, France",5342,1.3
Bandy Carroll Hellige,"Louisville, Ky.",5322,-5.4
ES Advertising,Los Angeles,5307,-20
Kelliher Samets Volk,"Burlington, Vt.",5300,15.2
Dojo* [Grupo ABC],San Francisco,5300,12.8
Wexley School for Girls,Seattle,5218,24.8
iStrategyLabs,Washington,5172,27.1
Brokaw,Cleveland,5153,11.1
Love Communications*,Salt Lake City,5131,14.3
Stephan & Brady,"Madison, Wis.",5121,33.5
Chernoff Newman,"Columbia, S.C.",5115,1
SMA NYC*,New York,5100,0
Schermer,Minneapolis,5100,69.4
Magnani Continuum Marketing,Chicago,5030,-5.1
DBA Worldwide,"Rochester, Mich.",5028,15.4
StudioNorth,"North Chicago, Ill.",5000,0
Quiet Light Communications,"Rockford, Ill.",5000,19
Latin3,"Fort Lauderdale, Fla.",5000,0
Tocquigny,"Austin, Texas",5000,12.5
Dynamit,"Columbus, Ohio",5000,39.7
Nail Communications,"Providence, R.I.",5000,58.7
L3 Advertising,New York,5000,0
1stMovement*,"Pasadena, Calif.",4950,0
Hirons & Co.,Indianapolis,4950,-1
Rabinovici & Associates,"North Miami Beach, Fla.",4945,27.7
GRP Media,Chicago,4900,10.1
Oden,"Memphis, Tenn.",4896,-13.1
Two by Four,Chicago,4891,-0.7
Baldwin&*,"Raleigh, N.C.",4883,31.5
SMM Advertising,"Smithtown, N.Y.",4858,2
Gertrude,Chicago,4850,14.8
Masterminds*,"Egg Harbor Township, N.J.",4824,13.3
Springbox,"Austin, Texas",4728,3.9
Catalyst Inc.,"Providence, R.I.",4665,9.2
L.C. Williams & Associates,Chicago,4660,5.8
Spring Creek Group* [Interpublic],New York,4609,2.4
CBD Marketing,Chicago,4600,4.5
Maier Advertising,"Farmington, Conn.",4500,0
Trigger,Los Angeles,4500,18.4
CooperKatz & Co.,New York,4466,-3.4
Hodgson/Meyers,"Kirkland, Wash.",4355,3.7
Liquid Interactive,"Breinigsville, Pa.",4331,54.1
Hispanic Group,Miami,4318,-14.2
Morsekode,Minneapolis,4300,16.2
CreativeOnDemand*,"Coconut Grove, Fla.",4271,0
GodwinGroup,"Jackson, Miss.",4251,-29.4
Garrand,"Portland, Maine",4216,-4
Glenn Group,"Reno, Nev.",4200,-12.5
Larry John Wright,"Mesa, Ariz",4200,10.5
90octane,Denver,4200,-6.4
AlPunto Advertising,"Tustin, Calif.",4200,0
Sudden Impact Marketing,"Westerville, Ohio",4127,-4.4
Small Army,Boston,4100,17.1
Spike DDB* [Omnicom ],"Brooklyn, N.Y.",4100,0
Miller Brooks,"Zionsville, Ind.",4089,-9
Anderson Communications,Atlanta,4080,32.9
AdFarm,"Kansas City, Mo.",4077,-19
Littlefield Brand Development,"Tulsa, Okla.",4037,-13.9
Firehouse Agency,Dallas,4014,-9.1
Jacobs Agency*,Chicago,4000,0
Ozone Online,San Francisco,4000,11.1
GdB,Minneapolis,4000,0
Weintraub Advertising,St. Louis,4000,0
Advantage International* [Interpublic],"Darien, Conn.",4000,33.3
Solve,Minneapolis,4000,66.7
Neighbor Agency,"Venice, Calif.",4000,35.4
LLNS Consumer* [Omnicom ],New York,4000,0
Innis Maggiore,"Canton, Ohio",3995,0.2
R/P Marketing Public Relations,"Holland, Ohio",3929,4.2
"Tom, Dick & Harry Creative Co.",Chicago,3900,11.4
Culture Shop*,"West Hollywood, Calif.",3850,9.4
TDA Boulder,"Boulder, Colo.",3838,-20.6
Walker Sands Communications,Chicago,3811,30.5
Escape Pod,Chicago,3800,8.6
Garfield Group,"Newtown, Pa.",3800,8.6
Tiziani & Whitmyre,"Sharon, Mass.",3795,0.5
Krause Advertising*,Dallas,3740,6.3
Grok,New York,3700,0
Mindpower,Atlanta,3661,6.7
Joule* [WPP],London,3535,1
RiechesBaird,"Irvine, Calif.",3510,7.7
Plan C Agency*,Los Angeles,3500,0
VRTC,Houston,3485,-41.1
Sockeye,"Portland, Ore.",3476,137
MDB Communications,Washington,3476,6.1
ADK America [Asatsu-DK],New York,3469,-26.9
Matlock Advertising & Public Relations,Atlanta,3466,0.4
BeCore,Los Angeles,3437,22.1
Glass Agency,"Sacramento, Calif.",3400,-10.5
Symmetri Marketing Group,Chicago,3400,-2.9
Richter7,Salt Lake City,3395,-29.1
Mason*,"Bethany, Conn.",3389,27.8
Design Group,"Little Rock, Ark.",3335,0
Mutt Industries,"Portland, Ore.",3325,-4.5
Munn Rabot*,New York,3320,4.2
LatinMedios.com,"Aventura, Fla.",3319,-10.9
Imaginuity,Dallas,3300,-26.7
Roth Partners,New York,3286,-34.1
TargetCom* [MDC Partners],Chicago,3256,-16
Richards/Carlberg,Houston,3250,16.1
Crossbow Group,"Westport, Conn.",3250,11.1
Thunder Tech,Cleveland,3250,16.1
DDCWorks,"Conshohocken, Pa.",3200,14.3
Goda Advertising,"Inverness, Ill.",3200,-11.1
Mint Advertising,"Clinton, N.J.",3133,4.4
Asher Media,"Addison, Texas",3100,-11.4
Hoffman Agency,"San Jose, Calif.",3090,32.2
Walz Tetrick Advertising,"Mission, Kan.",3084,13.2
Ready Set Rocket,New York,3071,70.6
Meers Advertising,"Kansas City, Mo.",3054,30
M45 Marketing*,"Freeport, Ill.",3038,2.3
Davis Harrison Dion,Chicago,3019,-0.2
Reality Rx Communication*,"Somerset, N.J.",3015,7.7
KZSW Advertising,"Setauket, N.Y.",3005,9.3
Sandstorm Design,Chicago,3000,30.4
Red House,"Alpharetta, Ga.",3000,20
Winsper,Boston,3000,11.1
JumboShrimp,San Francisco,3000,50
Sullivan Perkins,Dallas,3000,0
Turkel Brands*,Miami,3000,0
Jess3,"Sterling, Va.",3000,-46.4
Spear Marketing Group,"Walnut Creek, Calif.",3000,30.4
FRWD,Minneapolis,3000,-14.3
We Are Social [BlueFocus Communication Group],London/New York,2995,NA
PanCom International*,Los Angeles,2991,0
Nemer Fieger*,Minneapolis,2934,0
Mobium Integrated Branding,Chicago,2900,7.4
Remerinc*,Seattle,2833,0
Launch Agency,"Carrollton, Texas",2815,-33.8
Winner & Associates* [Publicis ],Los Angeles,2804,-48.3
Moses,Phoenix,2800,-26.3
Jones Advertising,Seattle,2800,12
U.S. Media Consulting*,Miami,2730,0
TriComB2B,"Dayton, Ohio",2710,-4.6
Ventura Associates International,New York,2618,-4.7
T.D. Wang Advertising Group,Seattle,2600,52.9
McKee Wallwork & Co.,"Albuquerque, N.M.",2544,-15.1
Hanapin Marketing,"Bloomington, Ind.",2539,71.7
Extractable,San Francisco,2532,2.1
Interlex Communications,San Antonio,2506,-65.9
Trumpet,New Orleans,2502,17.7
Goldin Solutions*,New York,2500,0
Manifold*,San Francisco,2420,10
Truth Agency,"Santa Ana, Calif.",2377,3.8
OneWorld Communications*,San Francisco,2352,52.4
Proteus B2B Marketing*,"Grand Rapids, Mich.",2350,50.6
Minds On,"Lewis Center, Ohio",2340,-24.6
JMPR Public Relations,"Woodland Hills, Calif.",2330,14.7
Borenstein Group,"Fairfax, Va.",2300,4.5
Goodman Marketing Partners,"San Rafael, Calif.",2243,-21.8
Martz Parsons,"Scottsdale, Ariz.",2224,38.2
Morrow Media*,"Forest Hills, N.Y.",2220,0
LaGrant Communications*,Los Angeles,2202,-2.4
Demi & Cooper,"Elgin, Ill.",2200,4.8
Tag Strategies,Philadelphia,2140,17.6
Coates Kokes,"Portland, Ore.",2126,15.8
Princeton Partners,"Princeton, N.J.",2106,-1
Brado Creative Insight,St. Louis,2016,19.4
Renegade,New York,2000,0
FortyTwoEightyNine,"Rockford, Ill.",2000,0
Red7e,"Louisville, Ky.",1990,-13.9
Hydrogen Advertising,Seattle,1986,17.5
Greatest Common Factory,"Austin, Texas",1941,1.5
Creative Department,Cincinnati,1920,-1.5
Foster Marketing,"Lafayette, La.",1916,9.6
Grenadier*,"Boulder, Colo.",1900,NA
Pepper Group,"Palatine, Ill.",1900,18.8
David James Group,"Oakbrook Terrace, Ill.",1900,2.7
Tipton & Maglione,"Great Neck, N.Y.",1887,2
Heinzeroth Marketing Group*,"Rockford, Ill.",1872,2.2
Modern Marketing Partners,"Naperville, Ill.",1825,23.1
Hudson Horizons,"Saddle Brook, N.J.",1821,5.4
FitzMartin,"Birmingham, Ala.",1735,-5
Glyphix*,"West Hills, Calif.",1714,-7.7
Catalyst Marketing Communications,"Stamford, Conn.",1705,3.3
Freebairn & Co.,Atlanta,1700,-6.8
LP&M Advertising,"Syracuse, N.Y.",1692,-3.1
Ohlmann Group*,"Dayton, Ohio",1658,0
TotalCom,"Tuscaloosa/Huntsville, Ala.",1624,6.1
K. Fernandez & Associates,San Antonio,1586,-17.2
Vizion Interactive,"Irving, Texas",1552,59.5
Direct VUE* [Omnicom ],New York,1500,NA
Barnhart Communications,Denver,1500,0
MLT Creative,"Clarkston, Ga.",1500,0
Insight Media,Miami,1500,-25
Huntsinger & Jeffer,"Richmond, Va.",1487,6.5
Simon Group,"Sellersville, Pa.",1476,-22.4
DGS Marketing Engineers,"Fishers, Ind.",1463,23.6
ASB Communications*,New York,1456,-27.8
Object DC,"Vienna, Va.",1399,-24.4
Premier Sports Management*,"Overland Park, Kan.",1320,-15.8
Oink Ink*,New York,1300,0
Media Powers*,"Roswell, Ga.",1296,-21.5
Touchdown Media,"Metuchen, N.J.",1292,2.5
Construction Marketing Advisors,"Naperville, Ill.",1258,17.1
Villing & Co.,"South Bend, Ind.",1258,11.9
FPO Marketing*,San Antonio,1225,0
HeathWallace* [WPP],"Reading, U.K.",1218,0
Fusion B2B,"Naperville, Ill.",1216,6.5
Oster & Associates,San Diego,1200,14.3
ScreenPlay InterActive*,"Clark, N.J.",1200,0
Response Capture*,"Portland, Ore.",1163,25.1
ENA Healthcare Communications,"Shrewsbury, N.J.",1140,20
White Good,"Lancaster, Pa.",1125,23.8
Boomm Marketing & Communications,"La Grange, Ill.",1110,-11.2
J-U Carter*,"San Clemente, Calif.",1100,0
Elemento L2,Chicago,1100,29.4
Media Pros of WNY*,"Orchard Park, N.Y.",1085,0
SMG (Shopper Marketing Group),"Valencia, Calif.",1050,23.5
Sonnhalter,"Berea, Ohio",1038,7.8
Mandala,"Bend, Ore.",1029,25
Sacunas,"Harrisburg, Pa.",1005,20.5
BSY Associates,"Homdel, N.J.",1000,21.2
LP&G,"Tucson, Ariz.",861,16.9
Kinzie & Green,"Wausau, Wis.",627,-12.4
Bat Studio,"Oakland, Calif.",550,22.2
TSA Communications,"Warsaw, Ind.",505,-10.2
Mighty Fudge Studios,"Boulder, Colo.",400,-20
Hudson Media Services,New York,330,1.5
Graphicmachine,"Kansas City, Mo.",220,-12.7
Griff/SMC Marketing Communications,"Boulder, Colo.",75,100
